rule_uid	file_id	criteria	rule	group	resource	directionality	verbatim	contemporary	factuality	reasoning	confidence	author	work_title	impact_year	group_specificity	is_historical	secondary_reasoning	resource_materiality	materiality_reasoning
tlg0006.tlg018.perseus-eng2#0	tlg0006.tlg018.perseus-eng2	Gender	Wife's inclusion of dowry slaves	Women	Right to personal attendants	MORE	[§1] Come, share with me your story; you will be telling it to a loyal and trusty heart; for Tyndareus sent me that day to form part of your wife’s dowry and to wait upon the bride with loyalty.	1	1	The text establishes that as part of a marriage arrangement (the dowry), a woman is provided with a servant as a resource for her own household use and personal service.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the rule describes a contemporary social arrangement.	5	Dowry slaves are tangible property, directly providing personal service and wealth.
tlg0006.tlg018.perseus-eng2#1	tlg0006.tlg018.perseus-eng2	Age	Elderly exemption from sleep	old people	Need for sleep	LESS	[§1] It is little enough sleep old age allows me and keenly it watches over my eyes.	1	1	The character explicitly identifies a physical/societal differentiation based on age where elderly individuals are characterized by a diminished capacity or requirement for sleep.	8.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the rule describes a contemporary observation about age.	1	Need for sleep is a biological trait, not a material resource or right.
tlg0006.tlg018.perseus-eng2#2	tlg0006.tlg018.perseus-eng2	Nobility	Superior access to magistracies	Wealthy citizens	Eligibility for the archonship	MORE	[§1] I envy you, old man, yes, and every man who leads a life secure, unknown and unrenowned; but little I envy those in office. [...] And yet it is there that we place the be-all and end-all of existence.	1	1	The dialogue highlights a distinction between common individuals and those in high office (political power/magistracies), identifying such positions as the peak of societal aspiration and resource access.	9.0	Euripides	Iphigenia in Aulis	-445	4	0	Broad societal group; the rule describes a contemporary political aspiration.	3	Access to magistracies is a social role with tangible outcomes (power, influence).
tlg0006.tlg018.perseus-eng2#3	tlg0006.tlg018.perseus-eng2	Lineage	Royal marriage requirements	male heirs	Right to exclusive marital alliances	MORE	[§1] ...saying that he refused to sail with the Achaeans, unless a bride of our lineage should go to Phthia. Yes, this was the inducement I offered my wife, inventing, as I did, a sham marriage for the maiden.	1	1	The rule extracted is that high-status warriors (like Achilles) require brides specifically from royal lineages (the house of Agamemnon) as a resource/inducement for military cooperation.	8.0	Euripides	Iphigenia in Aulis	-445	3	0	Specific role within a broader class; the rule describes a contemporary marriage custom.	4	Royal marriage alliances are concrete legal rights with direct material and political effects.
tlg0006.tlg018.perseus-eng2#4	tlg0006.tlg018.perseus-eng2	Gender	Female exclusion from military service	Women	Participation in military expeditions	LESS	[§3] Through the grove of Artemis, rich with sacrifice, I sped my course, my cheek stained with red from maiden modesty, in my eagerness to see the soldiers’ camp, the tents of the mail-clad Danaids, and their crowd of horses.	1	1	The chorus of women describes themselves as spectators who have 'come to see' the camp rather than participate in it, noting 'maiden modesty' in the presence of the male military force, reflecting a clear boundary.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the rule describes a contemporary gender role.	3	Participation in military expeditions is a social role with tangible outcomes (glory, spoils).
tlg0006.tlg018.perseus-eng2#5	tlg0006.tlg018.perseus-eng2	Nobility	Noble access to military command	Kings / Noble Heirs	Eligibility for military command	MORE	[§8] mechanical Mecisteus’ son, whom Talaus his grandfather reared, and Sthenelus, son of Capaneus, were in command; next in order, Theseus’ son was stationed at the head of sixty ships from Attica | [§10] And from Mycenae, the Cyclopes’ town, Atreus’ son sent a hundred well-manned galleys, and Adrastoshis brother was with him in command | [§11] Moreover there was a squadron of twelve Aenianian sail under King Gouneus; and then near them the lords of Elis... and Eurytus was lord of these	0	1	The text systematically identifies the commanders of the various naval contingents by their lineage (nobility) or royal status, demonstrating that high military office was reserved for those of noble birth or royal descent.	10.0	Euripides	Iphigenia in Aulis	-445	3	0	Specific role within a broader class; the rule describes contemporary military command structures.	3	Eligibility for military command is a social role with tangible outcomes (power, spoils).
tlg0006.tlg018.perseus-eng2#6	tlg0006.tlg018.perseus-eng2	Gender	Female exclusion from military service	Women	Right to participate in military expeditions	LESS	[§7] Next I sought the countless fleet, a wonder to behold, that I might fill my girlish eyes with gazing, a sweet delight. | [§12] There I saw the naval armament, but some things I heard at home about the gathered army, of which I still have a recollection.	1	1	The Chorus identifies as 'girlish' and describes their role as spectators/observers of the military force rather than participants. The mention of hearing things 'at home' reinforces the domestic confinement of women versus the public/military sphere of men.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the rule describes a contemporary gender role.	3	Participation in military expeditions is a social role with tangible outcomes (glory, spoils).
tlg0006.tlg018.perseus-eng2#7	tlg0006.tlg018.perseus-eng2	Freedom	Slave exclusion from family affairs	Slaves	Right to involve oneself in transition of information	LESS	[§13] Menelaus: You shall rue it, if you meddle in matters that do not concern you. Old man: You had no right to open a letter, which I was carrying. ... Menelaus: Let go! you are too wordy for a slave.	1	1	Menelaus explicitly rebukes the old man's interference based on his status as a slave, asserting that matters regarding the royal family's correspondence and decisions do not concern those in servitude.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the rule describes a contemporary social hierarchy.	3	Involving oneself in family affairs (information transition) can have tangible outcomes.
tlg0006.tlg018.perseus-eng2#8	tlg0006.tlg018.perseus-eng2	Citizenship	General eligibility for governance	Adult male citizens	Right to govern the state	MORE	[§13] Menelaus: May I never appoint a man to rule my country or lead its warriors because of his kinship! Sense is what the general must have; since any man, with ordinary intelligence, can govern a state.	1	0	Menelaus expresses the norm that any man with 'ordinary intelligence' (referring to the citizen body) is capable of governing, contrasting this with leadership based purely on aristocratic kinship.	8.0	Euripides	Iphigenia in Aulis	-445	4	0	Broad societal group; the rule describes a contemporary political ideal.	3	Right to govern the state is a social role with direct tangible outcomes.
tlg0006.tlg018.perseus-eng2#9	tlg0006.tlg018.perseus-eng2	Nobility	Noble obligation to public dignity	Nobility	Freedom to express private grief	LESS	[§13] Agamemnon: What an advantage humble birth possesses! for it is easy for her sons to weep and tell out all their sorrows; while to the high-born man come these same sorrows, but we have dignity throned over our life and are the people’s slaves.	1	0	Agamemnon contrasts the 'high-born' with those of 'humble birth,' noting that nobility imposes a social restriction on the outward expression of emotion and grief due to the requirements of public status/dignity.	9.0	Euripides	Iphigenia in Aulis	-445	3	0	Specific role within a broader class; the rule describes a contemporary social expectation for nobility.	1	Freedom to express grief is an emotional/social trait, not a material resource.
tlg0006.tlg018.perseus-eng2#10	tlg0006.tlg018.perseus-eng2	Gender	Female exclusion from military councils	Women	Access to military/political information	LESS	[§13] Agamemnon: Take one precaution for me, Menelaus, as you go through the army, that Clytemnestra does not learn this, till I have taken my child and devoted her to death, that my affliction may be attended with the fewest tears.	1	1	Agamemnon explicitly orders the withholding of information regarding military/sacrificial decisions from his wife, highlighting the exclusion of women from the spheres of command and sacrificial policy.	8.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the rule describes a contemporary gender-based exclusion.	3	Access to military/political information can lead to tangible outcomes.
