rule_uid,file_id,work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,factuality,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,rule_category,reasoning,group_generality,generality_reasoning,resource_materiality,materiality_reasoning,resource_generality,resource_generality_reasoning,resource_persistence,persistence_reasoning,group_immutability,immutability_reasoning,tautological,tautology_reasoning,confidence,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,vote,comment
tlg0014.tlg022.perseus-eng2::4,tlg0014.tlg022.perseus-eng2,Against Androtion,Demosthenes,-348,,Citizenship,gemini_v20_sample30_round3,0,fact,5,Metic property tax rate,Resident aliens,,Right to equal tax rates,,LESS,"Is it not rather because he said of one of them, in the hearing of all of you in the Assembly, that he was a slave and born of slaves and ought by rights to pay the contribution of one-sixth with the resident aliens; and of another that he had children by a harlot",,,"The text refers to the 'eisphora' or tax obligations where metics (resident aliens) were required to pay a higher proportion (the sixth) than citizens, marking a clear group boundary based on citizenship status.",,,4,Tax rates (eisphora) have a direct and significant material effect on wealth.,4,Taxation is a broad category of legal and economic obligation.,4,Metic tax obligations persist as long as the individual maintains resident alien status.,4,Resident alien (metic) status is a legal birth-status requiring naturalization to change.,0,Being an alien does not inherently define a 1/6th tax rate; it is an external rule.,8.0,gemini_v20_core_v1_random20,,,,up,
tlg0062.tlg019.perseus-eng2::4,tlg0062.tlg019.perseus-eng2,"The Dream, or the Cock",Lucian of Samosata,155,,Gender,gemini_v20_sample30_round3,0,fact,5,Female seclusion in women's quarters,Women,,Right to dine in public quarters,,LESS,Tl make my son eat with his mother in the women’s quarters so that you may have room.,,,"The text confirms the existence of 'women's quarters' (gynaikonitis) where women were expected to eat separately from male dinner parties, highlighting a restriction on their access to main social spaces.",,,4,Restriction to specific physical quarters is a limitation on freedom of movement.,4,Fundamental social structure (domestic segregation).,5,Usually a lifelong restriction for women in this cultural context.,5,Gender is a biologically fixed/strictly immutable category.,0,Women are not defined by the rooms they eat in.,10.0,gemini_v20_core_v1_random20,,,,up,
tlg0027.tlg001.perseus-eng2::30,tlg0027.tlg001.perseus-eng2,On the Mysteries,Andocides,-500,,Lineage|Gender,gemini_v20_sample30_round3,0,fact,5,Heiress marriage to next of kin,Daughters without brothers,,Right to inherit property through marriage,,MORE,"He died in Sicily without male issue, but left two daughters who ought now to have passed to Leagrus and myself. If a citizen died intestate, leaving daughters, but no sons, the daughters became heiresses ( ἐπίκληροι) and shared the estate between them. They were then obliged by law to marry their nearest male relatives, but not in the ascending line.",,,"The text describes the Athenian legal institution of the epikleros, where daughters without brothers are legally bound to marry the nearest male relative to ensure the estate remains within the lineage.",,,5,Inheritance of land/estate is a core material wealth entitlement.,5,The epiklerate was a foundational axis of Athenian family and property law.,5,Determines the lifelong property status and marital life of the woman.,5,Daughters without brothers are defined by birth and family structure.,0,A brotherless daughter is not by definition a property-inheritor in all systems.,10.0,gemini_v20_core_v1_random20,,,,up,yes but they also need t marry their nearest male relatives..
tlg0014.tlg049.perseus-eng2::1,tlg0014.tlg049.perseus-eng2,Apollodorus Against Timotheus,Demosthenes,-348,,Citizenship,gemini_v20_sample30_round3,0,fact,5,Citizen right to request individual testimony,Citizens,,Right to summon witnesses to court,,MORE,"On my depositing a drachma in his name on a charge of failing to appear, as the law prescribes, the arbitrator did not make an award against the defendant, but decided in his favor, and then went off, for it was already late. Now, however, I have entered suit on my own account for damages against Antiphanes because he neither gave testimony for me, nor asked under oath for a postponement, as the law provides.",,,"The text references several specific laws regarding the summoning of witnesses, the fine for failing to appear (the drachma deposit), and the right to sue a witness for damages if they fail to testify without a legal excuse.",,,4,The right to summon witnesses and sue for damages has direct material consequences in litigation.,3,Specific to the recurring procedure of court trials.,2,The resource is bounded to the duration of a specific legal case.,4,The right is tied to the durable legal status of citizenship.,0,Citizenship does not conceptually entail a drachma-deposit rule for witnesses.,9.0,gemini_v20_core_v1_random20,,,,up,
tlg0062.tlg041.perseus-eng2::22,tlg0062.tlg041.perseus-eng2,The Goddesse of Surrye,Lucian of Samosata,155,,Religion,gemini_v20_sample30_round3,0,fact,5,Prohibition on pork consumption,Syrians,,Right to eat pork,,LESS,Thei sacrificen boles and kyn and gotes and schepe. Swyn only thei ne sacrificen not nouther eten be cause that thei demen hem unclene.,,,The text identifies a general dietary and sacrificial restriction based on religious purity laws within this society.,,,5,Right to consume a specific meat is a tangible means of subsistence.,4,Dietary laws are a foundational societal axis for this culture.,5,This is a lifelong religious/ethno-cultural prohibition.,5,The group 'Syrians' refers to an ethnicity/birth-society.,0,"Abstinence from pork is a practice of Syrians, not its definition.",10.0,gemini_v20_core_v1_random20,,,,up,
tlg0007.tlg082a.perseus-eng2::8,tlg0007.tlg082a.perseus-eng2,Instituta Laconica,Plutarch,75,,Freedom|Citizenship,gemini_v20_sample30_round3,1,fact,5,Shared use of neighbors' resources,Citizens,,Exclusive use of owned property and slaves,,LESS,"but it was their custom to use the neighbours’ servants as their own if they needed them and also their dogs and horses, unless the owners required them for their own use. And in the country, if anyone found himself lacking anything and had need of it, he would open an owner’s storehouse and take away enough to meet his need.",,,"In Spartan society, individual property rights were weakened in favor of communal access among the citizen class (the Peers).",,,5,"Use of servants, dogs, and horses involves tangible wealth and property.",5,Property rights are a foundational societal axis of resource allocation.,4,"The custom established a long-term, structural right for citizens.",4,"Citizenship (Spartiate) was a rigid, hereditary legal status.",0,Citizenship does not conceptually entail shared property rights.,9.0,gemini_v20_core_v1_random20,,,,up,
tlg0007.tlg063.perseus-eng2::13,tlg0007.tlg063.perseus-eng2,Aratus,Plutarch,75,,Occupation,gemini_v20_sample30_round3,1,fact,5,Sacred games safe-conduct,Athletic contestants,,Protection from capture and enslavement,,MORE,"But the games were also celebrated at Argos, and then for the first time the privilege of asylum and safe-conduct which had been granted to contestants in the games was violated, since the Achaeans treated as enemies and sold into slavery all contestants in the games at Argos whom they caught travelling through their territory.",,,"The text identifies a long-standing Panhellenic rule (norm/convention) providing safe-conduct and asylum to specific groups (contestants in the games), protecting them from being treated as enemies or enslaved during travel. Aratus's violation of this proves the existence of the rule.",,,5,Safe-conduct provides direct protection from enslavement and bodily harm.,3,Specific to protection during athletic travel/competitions.,3,Bounded to the duration of the games and related travel.,3,Contestant status is a professional/role-bound identity for a period.,0,An athlete is not defined as being untestable or un-enslavable by definition.,10.0,gemini_v20_core_v1_random20,,,,down,
tlg0062.tlg041.perseus-eng2::14,tlg0062.tlg041.perseus-eng2,The Goddesse of Surrye,Lucian of Samosata,155,,Gender,gemini_v20_sample30_round3,0,fact,5,Male access to the temple,Men,,Right of entry to the temple,,MORE,"In to the grete temple comen alle men, but in to the litylle chambre the prestes only, and not alle the prestes, but only thei that ben most nyghe to the Goddes and han in governaunce alle the servys of the temple.",,,"The text specifies that 'alle men' have the right to enter the main temple area, implying a positive right of access based on gender/status.",,,3,Access to a holy site is a social practice with tangible participation outcomes.,4,Access to a central religious institution is a broad category of civic/religious life.,3,Access is a recurring right for the life-stage of adulthood/manhood.,5,"The group 'men' is defined by biological sex, which is strictly immutable.",0,Being male does not inherently define one as having access to this specific temple.,9.0,gemini_v20_core_v1_random20,,,,down,
tlg0007.tlg063.perseus-eng2::12,tlg0007.tlg063.perseus-eng2,Aratus,Plutarch,75,,Freedom,gemini_v20_sample30_round3,1,fact,5,Weapon possession prohibition for subjects,Argive subjects under tyranny,,Right to possess weapons,,LESS,"Accordingly, men were found to dare the deed, of whom Aeschylus and Charimenes the seer were the chief. They had no swords, however, the tyrant having prohibited the possession of them under heavy penalties.",,,"The tyrant Aristomachus established a rule for his subjects in Argos prohibiting the possession of swords, enforced by heavy penalties, effectively removing the resource of self-armament.",,,5,Possession of swords is a material resource for force and protection.,3,Specific right to possess a particular class of weapons.,4,Prohibition holds as long as the regime (tyranny) lasts.,4,Subjects of Argos are defined by civic/territorial status.,0,Being a subject/citizen does not by definition mean being disarmed.,10.0,gemini_v20_core_v1_random20,,,,up,
tlg0027.tlg001.perseus-eng2::14,tlg0027.tlg001.perseus-eng2,On the Mysteries,Andocides,-500,,Religion,gemini_v20_sample30_round3,0,fact,5,Impious exclusion from temples,Persons admitting religious impiety,,Access to sacred spaces,,LESS,"Isotimides proposed to exclude from temples all who had committed an act of impiety and admitted their guilt. I have done neither: I have not committed any act of impiety, nor have I admitted guilt.",,,"The text cites the decree of Isotimides, a specific legal rule in Athens that restricted individuals from entering religious sites if they had confessed to acts of impiety.",,,3,Access to temples is a social role practice with symbolic/status outcomes.,4,Broadly covers all temples for the specified class.,5,The exclusion following admission of guilt is permanent and structural.,2,Defined by an action/admission of an impiety event.,0,Admitting impiety does not conceptually equate to spatial exclusion from temples.,10.0,gemini_v20_core_v1_random20,,,,down,
