work_name,author,impact_year,polity,criterion_category,criterion_label,in_group,out_group,resource,speaker,verbatim,extraction_method,comment
On the Mysteries,Andocides,-500,Greek City-States,CITIZENSHIP,Non-citizens require special permission to address the Assembly,Citizens,"Slaves, Metics, Women",Political speech,Andocides,"The word ἄδεια is used in two slightly different senses. (a) It is the immunity granted by the Assembly or Council to persons who have a statement to make to them, but who are debarred from addressing them without special permission. This applied to slaves, metics, and women.","VOCAB_EXTRACTED (1 passages, 10 pages from original 43 pages)",good
On the Mysteries,Andocides,-500,Greek City-States,CITIZENSHIP,Non-citizens require special permission to address the Assembly,Citizens,"Slaves, Metics, Women",Political speech,Andocides,"The word ἄδεια is used in two slightly different senses. (a) It is the immunity granted by the Assembly or Council to persons who have a statement to make to them, but who are debarred from addressing them without special permission. This applied to slaves, metics, and women.","VOCAB_EXTRACTED (1 passages, 10 pages from original 43 pages)",it does not really say anything
On the Mysteries,Andocides,-500,Greek City-States,CITIZENSHIP,Non-citizens require special permission to address the Assembly,Citizens,"Slaves, Metics, Women",Political speech,Andocides,"The word ἄδεια is used in two slightly different senses. (a) It is the immunity granted by the Assembly or Council to persons who have a statement to make to them, but who are debarred from addressing them without special permission. This applied to slaves, metics, and women.","VOCAB_EXTRACTED (1 passages, 10 pages from original 43 pages)",this is too specific and not general enought
Against Timarchus,Aeschines,-354,Second Athenian League,MORAL_CONDUCT,Prostitution disqualifies from public office and participation,Citizens of good conduct,Those who prostituted,"Hold office, political speech, public participation",Aeschines,"If any Athenian shall have prostituted his person, he shall not be permitted to become one of the nine archons, nor to discharge the office of priest, nor to act as an advocate for the state, nor shall he hold any office whatsoever, at home or abroad, whether filled by lot or by election; he shall not be sent as a herald; he shall not take part in debate, nor be present at public sacrifices; when the citizens are wearing garlands, he shall wear none; and he shall not enter within the limits of the place that has been purified for the assembling of the people. If any man who has been convicted of prostitution act contrary to these prohibitions, he shall be put to death.","VOCAB_EXTRACTED (1 passages, 10 pages from original 51 pages)",good
Against Alcibiades,Andocides,-500,Greek City-States,MORAL_CONDUCT,Moral conduct affects political standing,Citizens of good conduct,Citizens with immoral conduct,"Political standing, reputation",Andocides,"I am astonished, furthermore, at those who are persuaded that Alcibiades is a lover of democracy, that form of government which more than any other would seem to make equality its end. They are not using his private life as evidence of his character, in spite of the fact that his greed and his arrogance are plain to them.","VOCAB_EXTRACTED (1 passages, 10 pages from original 12 pages)",this is not clear here what in group out group it is
The Shepherd of Hermas,Hermas,150,Roman Empire;(Roman Empire),MORAL_CONDUCT,Repentance for sins is limited for the just,Those who repent before the set day,Those who sin after the set day,Salvation and forgiveness,Ancient Lady,"For the Master has sworn to his elect by his glory that if there be still sin after this day has been fixed, they shall find no salvation; for repentance for the just has an end; the days of repentance have been fulfilled for all the saints, but for the heathen repentance is open until the last day.","VOCAB_EXTRACTED (1 passages, 10 pages from original 82 pages)",this is too specific
On the Embassy,Aeschines,-354,Second Athenian League,BIRTH_LINEAGE,Legitimate birth required for political trust,Legitimate citizens,Illegitimate or foreign-born,Political trust and participation,Aeschines,"For you remember he says it is the salt of the city and the table of the state for which he has most regard—he, who is no citizen born—for I will out with it!—nor akin to us. But we, who have shrines and family tombs in our native land, and such life and intercourse with you as belong to free men, and lawful marriage, with its offspring and connections, we while at Athens were worthy of your confidence, or you would never have chosen us, but when we had come to Macedonia we all at once turned traitors!","VOCAB_EXTRACTED (1 passages, 10 pages from original 48 pages)",good
Shield of Heracles,Hesiod,-740,Greek City-States,BIRTH_LINEAGE,Divine parentage grants superior abilities and status,"Those of divine parentage (e.g., Heracles, son of Zeus)","Those of mortal parentage (e.g., Iphicles, son of Amphitryon)","Superior abilities, recognition, and status",Narrator,"Though they were brothers, these were not of one spirit; for one was weaker but the other a far better man, one terrible and strong, the mighty Heracles. She bore him through the embrace of the son of Cronos lord of dark clouds and the other, Iphicles, of Amphitryon the spear-wielder—offspring distinct, this one of union with a mortal man, but that other of union with Zeus, leader of all the gods.","VOCAB_EXTRACTED (1 passages, 10 pages from original 11 pages)","no, this is about gods"
On the Estate of Menecles,Isaeus,-384,Peloponnesian League,BIRTH_LINEAGE,Right to inherit based on legitimate family lineage or legal adoption,Legally adopted sons,Non-adopted individuals or those not recognized as legitimate heirs,Inheritance rights,Adopted son of Menecles,"I wish next to prove to you that the adoption was carried out in the proper legal manner. So please read me the law which ordains that a man can dispose as he likes of his own property, if he does not possess male issue of his own. The law-giver, gentlemen, legislated thus, because he saw that for childless persons the only refuge for their solitary condition, and the only possible comfort in life, lay in the possibility of adopting whomsoever they wished.","FULL_TEXT (21,706 chars ≈ 9 pages)",this is too specific
Against Ctesiphon,Aeschines,-354,Second Athenian League,ACHIEVEMENTS,Requirement to pass audit before receiving honors,Officials who passed audit,Officials who have not passed audit,Receiving public honors (crowning),Aeschines,"Now some statesman who had observed this situation caused a law to be passed—and a most excellent law it is—which expressly forbids crowning men before they have passed their final accounting. [...] But Ctesiphon, fellow citizens, overleaping the law that governs those who are subject to audit, and not deigning to resort to the pretext of which I have just spoken, has moved that before the accounting, before the auditing, you crown Demosthenes—in the midst of his term of office.","VOCAB_EXTRACTED (1 passages, 10 pages from original 68 pages)",good
Epinicians,Bacchylides,-480,Greek City-States,ACHIEVEMENTS,Winning at the Olympic games grants glory and recognition,Olympic victors,Non-victors,Glory and recognition,Author,"Lachon has won from greatest Zeus the best glory with his feet by the streams of the Alpheus [the victories] through which before Ceos rich in vines has been sung at Olympia as victorious in boxing and the foot race, by young men, luxuriant with garlands in their hair.","VOCAB_EXTRACTED (1 passages, 10 pages from original 16 pages)",Glory and recognition is not a good rexampels of reosurce
Shield of Heracles,Hesiod,-740,Greek City-States,ACHIEVEMENTS,Completion of tasks assigned by gods grants favor and status,"Those who complete divine tasks (e.g., Heracles)",Those who do not complete divine tasks,"Divine favor, recognition, and status",Narrator,"And he feared their anger, and hastened to perform the great task to which Zeus had bound him. [...] And mighty Heracles was glad in heart and smiled, for the other's words pleased him well, and he answered him with winged words: 'O hero Iolaus, heaven-sprung, now is rough battle hard at hand.'","VOCAB_EXTRACTED (1 passages, 10 pages from original 11 pages)","Divine favor, recognition, and status is a not a good example fo resource"
On the Embassy,Aeschines,-354,Second Athenian League,CITIZENSHIP,Citizenship required for political participation,Citizens,Non-citizens,Political participation,Aeschines,"For you remember he says it is the salt of the city and the table of the state for which he has most regard—he, who is no citizen born—for I will out with it!—nor akin to us. But we, who have shrines and family tombs in our native land, and such life and intercourse with you as belong to free men, and lawful marriage, with its offspring and connections, we while at Athens were worthy of your confidence, or you would never have chosen us, but when we had come to Macedonia we all at once turned traitors!","VOCAB_EXTRACTED (1 passages, 10 pages from original 48 pages)",great
Economics,Aristotle,-348,Thebans,CITIZENSHIP,Citizenship can be purchased,Those with citizen parents or who pay,Non-citizens without citizen parents or payment,Citizenship rights,Aristotle,"And whereas previously the rights of citizenship were by law confined to those whose parents were both citizens, lack of funds, induced them to offer citizenship to him who had one citizen parent on payment of the sum of thirty minae.","VOCAB_EXTRACTED (1 passages, 10 pages from original 24 pages)",great
