rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning
tlg0004.tlg001.perseus-eng2::0	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Occupation']	Magian monopoly on divine communication	Magi	Right to conduct divine worship	MORE	['while the Magi spend their time in the worship of the gods, in sacrifices and in prayers, implying that none but themselves have the ear of the gods.']	The text describes a specific occupational group (Magi) that claims an exclusive religious right to communicate with the divine, effectively barring others from that specific resource.	1	1	9.0	2	Conducting worship is a social/priesthood role with symbolic payoff, though it yields some social status.	4	A monopoly on divine communication spans all religious life for the group.	5	Occupational priesthood/Magi status is described as a lifelong structural position.	4	The Magi are presented as a hereditary or strictly closed religious/ethnic caste.	1	Diogenes reports on the custom of ancient Persian Magi from a historically distant perspective.	5	The verbatim reports the exclusivity of their role as an observed ethnographic fact.	0	Being a Magus does not inherently define one's monopoly on 'the ear' of gods in all cultures.
tlg0004.tlg001.perseus-eng2::1	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Occupation']	Magian prohibition of personal ornament	Magi	Right to wear personal ornament	LESS	['They prohibit personal ornament and the wearing of gold. Their dress is white, they make their bed on the ground, and their food is vegetables, cheese, and coarse bread; their staff is a reed']	The text identifies the Magi as a group subject to specific ascetic regulations that restrict their access to material resources like gold and jewelry based on their status.	1	1	10.0	5	Personal ornaments and gold are tangible property and physical wealth.	3	Specific to luxury goods and clothing style, a recurring attribute of the group.	5	Part of a lifelong ascetic commitment inherent to the group's structural role.	4	The Magi are a structural hereditary/religious caste, hard to enter or leave.	1	Reports on ancient Persian customs centuries before the author's time.	5	Direct description of observed ascetic prohibitions and dress codes.	0	Religious membership does not conceptually require a ban on wearing gold.
tlg0004.tlg001.perseus-eng2::2	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Occupation']	Magian dietary restrictions	Magi	Freedom of dietary choice	LESS	['Their dress is white, they make their bed on the ground, and their food is vegetables, cheese, and coarse bread; their staff is a reed and their custom is, so we are told, to stick it into the cheese and take up with it the part they eat.']	The group 'Magi' is defined by occupational/religious criteria and the text explicitly lists the limited types of food they are permitted to consume, representing a restriction on their choice.	1	1	9.0	5	Food is a concrete material resource essential for subsistence.	3	Restricts a specific category of life (diet) across many recurring daily scenarios.	5	Lifelong dietary restrictions associated with the ascetic life of the Magi.	4	Part of a structural caste-like religious identity.	1	Reports ancient/foreign customs of the Persian Magi.	5	Factual description of the actual food types consumed by the group.	0	Religious status does not analytically imply eating only cheese and vegetables.
tlg0004.tlg001.perseus-eng2::3	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Religion', 'Occupation']	Magian prohibition of cremation	Magi	Right to choose funerary rites	LESS	['They hold discourse of justice, and deem it impious to practise cremation; but they see no impiety in marriage with a mother or daughter, as Sotion relates in his twenty-third book.']	The text describes a specific restriction on the Magi regarding the disposal of the dead, framing cremation as an impious act they are barred from performing.	1	1	8.0	5	Disposal of the body (cremation) is a tangible physical treatment of human remains.	2	Narrowly scoped to a single specific procedure (funerary rites).	5	A rule governing the finality of death, applying to every group member's end of life.	4	Magi as a structural hereditary or dedicated life-long religious group.	1	Diogenes cites historical accounts (Sotion) regarding ancient Persian customs.	4	Reported fact involving their moral 'deeming' of the practice as impious.	0	Being Magian does not define cremation as impious; that is a specific theological rule.
tlg0004.tlg001.perseus-eng2::4	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Citizenship', 'Ethnicity']	Egyptian invention of mathematical sciences	Egyptians	Right to be recognized as inventors	MORE	['They also laid down laws on the subject of justice, which they ascribed to Hermes; and they deified those animals which are serviceable to man. They also claimed to have invented geometry, astronomy, and arithmetic.']	The text attributes the creation/monopoly of specific intellectual resources (geometry, astronomy, arithmetic) to the Egyptian people as a collective identity group.	0	1	7.0	1	Intellectual recognition/status as 'inventors' is abstract and non-material recognition.	4	Covers a broad category of intellectual domains (geometry, astronomy, etc.).	5	Historical legacy/claim is a permanent structural feature of the ethnic group's identity.	5	Ethnicity (Egyptian) is biologically and birth-fixed.	1	Discusses the origins of sciences in the deep, legendary past.	3	Reports on the Egyptians' own claims ('they claimed to have invented').	0	National identity does not logically entail being the creator of mathematics.
tlg0004.tlg001.perseus-eng2::5	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Nobility']	Noble access to the Sage title	Nobles	Eligibility for the title of Sage	MORE	['Herodotus, Duris, and Democritus are agreed that Thales was the son of Examyas and Cleobulina, and belonged to the Thelidae who are Phoenicians, and among the noblest of the descendants of Cadmus and Agenor. As Plato testifies, he was one of the Seven Sages. He was the first to receive the name of Sage, in the archonship of Damasias at Athens, when the term was applied to all the Seven Sages, as Demetrius of Phalerum mentions in his List of Archons.']	The text links Thales' inclusion among the Seven Sages and his receipt of the title 'Sage' to his 'noble' lineage. In the context of early Greek society described by Diogenes, high birth (Nobility) was a prerequisite for such public recognition and immaterial honors.	0	1	8.0	1	The title of 'Sage' is a purely symbolic, reputational honor.	2	Tied to a very specific, elite, and selective honorific title.	5	Historical naming among the 'Seven Sages' is a permanent structural legacy.	5	Nobility is defined here by descent from Cadmus/Agenor (lineage).	1	Refers to the archaic period (Archonship of Damasias).	4	Cites various historians regarding Thales' lineage and receipt of the name.	0	Being noble does not automatically mean one is a Sage.
tlg0004.tlg001.perseus-eng2::6	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Citizenship']	Citizen right to give political advice	Citizens	Right to participate in state affairs	MORE	['He was admitted to citizenship at Miletus when he came to that town along with Nileos, who had been expelled from Phoenicia. . . After engaging in politics he became a student of nature. . . Thales is also credited with having given excellent advice on political matters. For instance, when Croesus sent to Miletus offering terms of alliance, he frustrated the plan; and this proved the salvation of the city when Cyrus obtained the victory.']	Thales' engagement in politics and his ability to influence the city's alliance decisions are explicitly preceded by his admission to citizenship. This demonstrates that political participation and formal influence over state affairs were resources reserved for those with the status of citizen.	0	1	9.0	4	Political participation allows direct influence over state material resources and war.	5	Politics is a foundational societal axis covering many outcomes.	4	Citizenship rights are long-term (lifelong) but legally revocable.	4	Citizenship is a structural legal status difficult to change.	1	Refers to Thales and Croesus (6th century BCE).	4	Reports Thales' political activities as a matter of historical record.	0	Citizenship is the prerequisite for political advice, not the definition of it.
tlg0004.tlg001.perseus-eng2::7	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Wealth / Properties']	Wealthy access to capital investment	The wealthy	Right to lease industrial equipment	MORE	['Hieronymus of Rhodes in the second book of his Scattered Notes relates that, in order to show how easy it is to grow rich, Thales, foreseeing that it would be a good season for olives, rented all the oil-mills and thus amassed a fortune. Because, having created a monopoly, he could charge what he pleased.']	The passage describes the ability to corner a market by renting ('leasing') production means as a function of having the initial capital to do so. This identifies the 'Wealthy' as the group having access to the resource of large-scale commercial contracts and monopolies.	0	1	9.0	5	Industrial equipment (oil-mills) and amassing fortunes are tangible material resources.	3	Access to specific commercial monopolies/leasing is a recurring specific economic right.	4	Wealth and capital leverage act as long-term advantages in a person's life.	3	Wealth bracket is changeable with effort (as the story explicitly proves).	1	Anecdote about the pre-Socratic philosopher Thales.	4	Reported anecdote from Hieronymus of Rhodes as historical fact.	0	Having wealth is the means to monopoly, but monopoly is not the definition of wealth.
tlg0004.tlg001.perseus-eng2::8	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Gender']	Male preference in birth fortune	Women	Status of being born male	LESS	['Hermippus in his Lives refers to Thales the story which is told by some of Socrates, namely, that he used to say there were three blessings for which he was grateful to Fortune: first, that I was born a human being and not one of the brutes; next, that I was born a man and not a woman; thirdly, a Greek and not a barbarian.']	The text explicitly lists being born a man rather than a woman as one of the three primary blessings or advantages of existence in Greek society. This reflects a normative rule where gender determines the starting level of social 'blessing' or resource access.	1	0	9.0	1	'Blessings' and 'fortune' in this context are abstract framing of life quality.	5	Being male vs. female is a foundational axis for all life outcomes in this society.	5	Sex/gender is a lifelong structural characteristic.	5	Sex is biologically fixed at birth.	1	Anecdote attributed to Socrates/Thales in the past.	2	The verbatim is a rhetorical expression of gratitude/opinion by the speaker.	0	Being a woman is not analytically defined by having less 'blessing'.
tlg0004.tlg001.perseus-eng2::9	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Ethnicity']	Greek preference in birth fortune	Barbarians	Status of being born Greek	LESS	['Hermippus in his Lives refers to Thales the story which is told by some of Socrates, namely, that he used to say there were three blessings for which he was grateful to Fortune: first, that I was born a human being and not one of the brutes; next, that I was born a man and not a woman; thirdly, a Greek and not a barbarian.']	The passage identifies being born a Greek as a fundamental 'blessing' compared to being born a 'barbarian' (non-Greek). This establishes a clear hierarchy based on ethnicity and origin regarding the perceived quality and rights of an individual.	1	0	9.0	1	'Blessing' is an abstract, non-material categorization of status.	5	Greek vs. Barbarian is a foundational societal/legal axis.	5	Ethnicity/origin is a lifelong, permanent status.	5	Being Greek vs. Barbarian is defined by birth/lineage.	1	Historical anecdote of pre-Socratic/Socratic era.	2	Rhetorical expression of the speaker's personal valuation/prejudice.	0	Being Greek is not the definition of having good fortune.
