rule_id	resource_meta	resource	resource_granular	granular_is_new	granular_parent_meta	granular_reasoning
tlg0007.tlg118.perseus-eng3::0	Political power	Access to high-level imperial governance	Eligibility for public office	False	Eligibility for public office	the exercise of statecraft on a large scale was virtually limited to Romans
tlg0007.tlg118.perseus-eng3::1	Political power	Right to local self-government	Local self-governance	False	Political power	city-states retained, however, their local self-government
tlg0007.tlg118.perseus-eng3::2	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	precepts of statecraft ... public conflicts ... befits your noble birth
tlg0007.tlg118.perseus-eng3::3	Right to vote in the Ekklesia	Right to vote in the Ekklesia	Eligibility for military command	False	Eligibility for public office	from the office of the generals keep your eyes upon the orators’ platform
tlg0007.tlg118.perseus-eng3::5	Political power	Legislative finality	Deliberative authority	False	Political power	power which a small edict of a proconsul may annul or transfer
tlg0007.tlg119.perseus-eng3::0	Right to citizenship	Right to hold citizenship	Right to citizenship	False	Right to citizenship	Megarians voted Alexander the politeia (citizenship)
tlg0007.tlg119.perseus-eng3::2	Political power	Right to equal political power	Deliberative authority	False	Political power	adapting to himself the colleagues who have equal power and honour
tlg0014.tlg059.perseus-eng2::0	Political power	Right to bring bills to the senate	Proposing legislation	False	Right to address the assembly	brought forward in the senate a bill, and carried it as a preliminary decree
tlg0014.tlg059.perseus-eng2::1	Exemption from compulsory public financing	Exemption from state military financing	Exemption from liturgies	False	Exemption from compulsory public financing	funds remaining over from state expenditures should be devoted to military purposes
tlg0014.tlg059.perseus-eng2::2	Right to citizenship	Possession of civic rights	Right to citizenship	False	Right to citizenship	deprive Apollodorus and his children of their civic rights
tlg0014.tlg059.perseus-eng2::3	Right to marry	Right to marry Athenian citizens	Right to marry a citizen	False	Right to marry	alien shall live as husband with an Athenian woman
tlg0014.tlg059.perseus-eng2::5	Right to citizenship	Right to legal personhood	Right to legal personhood	True	Right to citizenship	she took Stephanus here for her patron
tlg0014.tlg059.perseus-eng2::6	Protection from enslavement	Protection from arbitrary enslavement	Personal liberty	False	Protection from enslavement	declaring her to be a free woman
tlg0014.tlg059.perseus-eng2::7	Right to a dowry	Right to return of dowry	Right to a dowry	False	Right to a dowry	must pay back the marriage portion or else pay interest on it
