rule_uid	file_id	criteria	rule	group	resource	directionality	verbatim	contemporary	factuality	reasoning	confidence	author	work_title	impact_year	group_specificity	is_historical	secondary_reasoning	resource_materiality	materiality_reasoning	group_immutability	immutability_reasoning	resource_generality	resource_generality_reasoning	perseus_id	work_factuality	sampled_for
tlg0027.tlg004.perseus-eng2#15	tlg0027.tlg004.perseus-eng2	Age	Military service exemption for youth	young people	Exemption from active combat	MORE	[§24] [22] ...that is why our old men fight our battles, while our young men make speeches— they take Alcibiades as their model	1	0	The passage suggests a breakdown in the traditional rule where young men are the primary combatants, noting that currently, old men are fighting while young men stay in the city.	7.0	Andocides		-500	5	0	Canonical societal group; the author describes a contemporary shift in social roles.	4	Exemption from military service has direct material effect on personal safety and livelihood.	5	Age is a biologically fixed trait, strictly immutable.	3	Exemption from active combat is a specific but recurring protection.	tlg0027.tlg004	4	Age
tlg0019.tlg003.perseus-eng2#36	tlg0019.tlg003.perseus-eng2	Age	Seniority seat preference	old people	Right to prioritized seating	MORE	[§31] ...and to rise up from seats before your seniors when they approach, and not to behave ill toward your parents, and to do nothing else that is base.	1	1	The text describes a societal norm where younger people must yield their seats to older people, indicating a resource (priority seating) granted to the elderly.	10.0	Aristophanes	The Clouds	-409	5	0	The group 'old people' is a canonical societal group; the author describes a contemporary social norm.	2	Prioritized seating is a minor social privilege with weak material payoff.	3	Old age is a life stage, changeable over time, but a durable social identity.	3	Right to prioritized seating is a specific but recurring social privilege.	tlg0019.tlg003	3	Age
tlg0019.tlg003.perseus-eng2#52	tlg0019.tlg003.perseus-eng2	Age	Elder immunity from physical abuse	old people	Protection from corporal punishment	MORE	[§57] Strepsiades. It is nowhere ordained by law that a father should suffer this. ...Phidippides. Why then is it less lawful for me also in turn to propose henceforth a new law for the sons, that they should beat their fathers in turn?	1	1	The character Phidippides attempts to dismantle an existing societal and legal norm where elderly fathers are protected from being beaten by their sons, arguing for a 'new law' to replace the established one.	9.0	Aristophanes	The Clouds	-409	5	0	The group 'old people' is a canonical societal group; the author describes a contemporary challenge to their immunity.	5	Protection from corporal punishment is a fundamental bodily entitlement.	3	Old age is a life stage, changeable over time, but a durable social identity.	4	Protection from corporal punishment is a major recognizable right spanning many situations.	tlg0019.tlg003	3	Age
tlg0057.tlg010.perseus-eng2#43	tlg0057.tlg010.perseus-eng2	Age	Elderly humor accumulation	old people	Protection from phlegm accumulation	LESS	[§28] Thus, the white-coloured substance which everyone else calls phlegm, and which Prodicus calls blenna [mucus], is the well-known cold, moist humour which collects mostly in old people and in those who have been chilled in some way...	1	1	Galen describes a physiological rule where the 'cold, moist' humor (phlegm/mucus) specifically accumulates in individuals based on their age (the elderly), contrasted with younger people or those in their 'prime'.	9.0	Galen	On the Natural Faculties	164	5	0	Canonical age group; the rule describes a timeless physiological process.	5	Protection from phlegm accumulation directly impacts bodily health.	5	Age is a biologically fixed trait, strictly immutable.	2	Protection from phlegm accumulation is specific to a particular bodily humor.	tlg0057.tlg010	3	Age
tlg0010.tlg019.perseus-eng2#41	tlg0010.tlg019.perseus-eng2	Age	Youthful self-governance requirements	young men	Right to govern one's own thoughts	LESS	[§290] namely, that if one is to govern his youth rightly and worthily and make the proper start in life, he must give more heed to himself than to his possessions, he must not hasten and seek to rule over others before he has found a master to direct his own thoughts.	1	1	The societal norm described requires young men to submit to a 'master' (teacher) before they are permitted the resource of independent action or the right to lead others.	8.0	Isocrates	Antidosis	-400	5	0	The group is a canonical age category; the author describes a contemporary societal expectation for self-governance.	1	Right to govern one's own thoughts is an abstract, internal capacity.	5	Age is a biologically fixed trait, strictly immutable.	4	Right to govern one's own thoughts is a broad category of personal autonomy.	tlg0010.tlg019	4	Age
tlg0086.tlg010.perseus-eng2#26	tlg0086.tlg010.perseus-eng2	Citizenship	State-mandated moral training for citizens	Citizens	Training in habits of right action	MORE	[§174] This truth is attested by the experience of states: lawgivers make the citizens good by training them in habits of right action—this is the aim of all legislation, and if it fails to do this it is a failure; this is what distinguishes a good form of constitution from a bad one.	1	1	Aristotle describes a general political rule of Greek states where the law and the constitution are designed to provide citizens with moral training throughhabituation.	10.0	Aristotle	Nicomachean Ethics	-348	5	0	Canonical societal group; Aristotle describes a general principle of statecraft in his time.	3	Training in habits of right action is a social practice with tangible outcomes.	4	Citizenship is a legal status, very hard to change, requiring naturalisation or exile.	4	Training in habits of right action is a broad category of right.	tlg0086.tlg010	3	Citizenship
tlg0086.tlg035.perseus-eng2#15	tlg0086.tlg035.perseus-eng2	Citizenship	Enslavement of conquered foreigners	Foreigners	Protection from enslavement	LESS	[§8] for there is also such a thing as a slave or a man that is in slavery by law, for the law is a sort of agreement under which the things conquered in war are said to belong to their conquerors. | [§8] Therefore they do not mean to assert that Greeks themselves if taken prisoners are slaves, but that barbarians are.	1	1	The text describes a legal convention where non-Greeks (barbarians) captured in war are treated as property (slaves), a rule from which Greeks seek to exempt themselves.	9.0	Aristotle	Politics	-348	5	0	Canonical societal group; Aristotle describes a contemporary legal convention for enslavement.	5	Protection from enslavement is a fundamental bodily entitlement and freedom from being property.	4	Being a foreigner subject to enslavement is a legal/structural status, very hard to change.	4	Protection from enslavement is a major recognizable right.	tlg0086.tlg035	3	Citizenship
tlg0086.tlg035.perseus-eng2#229	tlg0086.tlg035.perseus-eng2	Citizenship	Citizen right to public accounting	Citizens	Right to inspect public funds	MORE	[§135] and also rendering account of receipts and expenditure, as some tyrants have done already （for this careful management would make a ruler seem a steward of the state and not a tyrant).	1	1	As a rule for becoming 'more regal,' Aristotle suggests the tyrant provide accounts of public money to the citizens, treating them as stakeholders rather than subjects of a private estate.	8.0	Aristotle	Politics	-348	5	0	The group 'Citizens' is a canonical societal group; Aristotle describes contemporary advice for rulers.	4	Right to inspect public funds is a concrete legal right with direct material effect.	4	Citizenship is a legal/structural birth-status, very hard to change.	3	Right to inspect public funds is a specific but broadly applicable legal protection.	tlg0086.tlg035	3	Citizenship
tlg1443.tlg001.perseus-eng1#31	tlg1443.tlg001.perseus-eng1	Citizenship	Christian traveler refreshment requirement	Foreigners	Right to hospitality and support	MORE	[§199] [2] Concerning those who have preceded me from Syria to Rome to the glory of God... it is right for you to refresh them in every way.	1	1	The text establishes a rule of conduct for the Roman church to provide 'refreshment' (support/hospitality) to foreign travelers ('those who have preceded me from Syria') on the basis of their shared religious identity.	8.0	Ignatius of Antioch	Epistle of Ignatius to the Trallians	70	5	0	The group 'Foreigners' is a canonical societal group; the rule describes a contemporary social obligation.	3	Right to hospitality and support provides tangible benefits like food and shelter.	3	Foreigners (travelers) is a status that can change, but is a durable social identity while in that state.	3	Right to hospitality and support is a specific but broadly applicable social protection.	tlg1443.tlg001	3	Citizenship
tlg0031.tlg005.perseus-eng2#45	tlg0031.tlg005.perseus-eng2	Citizenship	Foreigner restriction on new teachings	Foreigners	Right to introduce new deities	LESS	"[§633] Others said, ""He seems to be advocating foreign demons,"" because he preached Jesus and the resurrection. [§634] They took hold of him, and brought him to the Areopagus, saying, ""May we know what this new teaching is, which is spoken by you?"""	1	1	In Athens, Paul (a newcomer) is detained and brought before a governing council (the Areopagus) to account for preaching 'foreign' deities, indicating that non-citizens did not have the unrestricted right to introduce new religious doctrines without official inquiry.	8.0	New Testament		100	4	0	Broad societal group; the rule describes a contemporary restriction on religious innovation for foreigners.	3	Right to introduce new deities affects access to a social role/practice with tangible outcomes.	3	Foreigner status is changeable with effort (e.g., naturalization), but durable.	3	The right to introduce new deities is a specific but recurring religious freedom.	tlg0031.tlg005	3	Citizenship
